Date,AAPL,GLD,GOOGL,GS,JPM,KO,MSFT,NVDA,TLT,XOM
2024-12-31,248.8302001953125,242.1300048828125,188.42886352539062,558.2297973632812,232.49681091308594,60.06277084350586,417.4606018066406,134.2460174560547,82.3797607421875,103.07477569580078
2025-01-02,242.30191040039062,245.4199981689453,188.55825805664062,560.5206909179688,232.77809143066406,59.657596588134766,414.5685729980469,138.2646942138672,82.60616302490234,102.82563781738281
2025-01-03,241.8150177001953,243.49000549316406,190.90740966796875,565.5510864257812,235.95938110351562,59.57077407836914,419.2928771972656,144.4226837158203,82.34201049804688,103.35264587402344
2025-01-06,243.4446258544922,243.19000244140625,195.96401977539062,568.7290649414062,234.80899047851562,58.66394805908203,423.749755859375,149.38104248046875,81.97410583496094,103.23766326904297
2025-01-07,240.67233276367188,244.55999755859375,194.59039306640625,565.5411987304688,237.07080078125,58.69289016723633,418.3222961425781,140.09408569335938,81.04966735839844,104.20545959472656
2025-01-08,241.15921020507812,245.86000061035156,193.05747985839844,565.44384765625,237.03179931640625,59.53218460083008,420.4913330078125,140.06411743164062,81.15343475341797,102.46151733398438
2025-01-10,235.3463592529297,248.2100067138672,191.15625,545.9269409179688,233.85357666015625,58.914772033691406,414.93505859375,135.86549377441406,80.61573028564453,102.08781433105469
2025-01-13,232.9119110107422,245.74000549316406,190.1309814453125,548.8028564453125,238.08473205566406,59.47430419921875,413.1919250488281,133.1863555908203,80.58744812011719,104.722900390625
2025-01-14,231.79901123046875,247.02999877929688,188.78720092773438,557.1671752929688,241.262939453125,59.85054016113281,411.6864929199219,131.7168426513672,80.45537567138672,105.13492584228516
2025-01-15,236.35987854003906,248.8800048828125,194.6501007080078,590.6929931640625,246.0205535888672,59.590065002441406,422.2245178222656,136.1953887939453,81.8420639038086,106.85012817382812
2025-01-16,226.81088256835938,250.60000610351562,192.02223205566406,597.585205078125,247.8924102783203,60.05312728881836,420.5110778808594,133.5262451171875,82.10618591308594,106.66805267333984
2025-01-17,228.5199737548828,249.27000427246094,195.0980224609375,610.2098388671875,252.65975952148438,60.496891021728516,424.91845703125,137.66490173339844,82.24769592285156,107.62627410888672
2025-01-21,221.22657775878906,253.1300048828125,197.1385955810547,618.7886962890625,256.43267822265625,60.21712875366211,424.3935546875,140.7838592529297,82.98348236083984,106.81179809570312
2025-01-22,222.40902709960938,254.42999267578125,197.45712280273438,616.8291625976562,256.2474670410156,59.59971618652344,441.9239196777344,147.0218505859375,82.54955291748047,104.9528579711914
2025-01-23,222.2401123046875,254.07000732421875,197.06890869140625,623.4291381835938,259.2794494628906,59.35853576660156,442.42901611328125,147.17178344726562,81.90809631347656,105.54695892333984
2025-01-24,221.3656768798828,255.64999389648438,199.28866577148438,620.8944091796875,258.197265625,59.73476791381836,439.8044128417969,142.57327270507812,82.2759780883789,104.11921691894531
2025-01-27,228.40074157714844,252.99000549316406,190.92730712890625,617.3653564453125,259.18194580078125,61.6159553527832,430.39544677734375,118.38121032714844,83.24760437011719,105.56611633300781
2025-01-28,236.74740600585938,255.17999267578125,194.40126037597656,621.771728515625,260.4396057128906,60.159244537353516,442.914306640625,128.94775390625,83.19100189208984,103.52513885498047
2025-01-29,237.84043884277344,254.1999969482422,194.51075744628906,621.3623046875,259.8935852050781,60.6126594543457,438.09100341796875,123.65948486328125,83.02120208740234,104.12879943847656
